userName,score,at,content
Zia Slamat,5,2024-09-06 01:34:11,"Alhamdulillah,,setelah sekian hari drama saldo kepotong dokumen tdk terstamp,,,Apk imi memang patut d ajungi jempol,,mengutamakan coustmer 😍😍😍"
Florentina Kuway,4,2024-09-06 01:33:43,Untuk sekarang ini dulu
Muhammad defri Wahyudi,1,2024-09-06 01:31:09,Untuk pembelian matrai muda dan gampang. Tetapi saat dibubuhkan sangat gampang. Saat download tidak bisa? Permainan kalian atau bagai mana ini. Sudah brapa banyak untung kalian dpatkan memperlakukan kami dengan sperti itu. Bagi kami Rp.22.000 lumayan itu. Dan bayangkan Rp 22.000 x 5.000 (orang) sudah brapa duit itu?? Respon admin pun kurang
Fran Horas Samosir,1,2024-09-06 01:29:40,Di hubungi dari helpdesk WhatsApp gak ada solusi sama sekali
Chandra Aditya Novianto,4,2024-09-06 01:24:35,Lumayan sih tapi gk sekalian bisa scan materai nya
slbn1 buntok,5,2024-09-06 01:21:51,sangat bermanfaat
JOKO PEBRIANTO,5,2024-09-06 01:21:01,Sangat Membantu
Wahyu Dwi Yulianto,5,2024-09-06 01:18:07,Simple mudah dan sangat membantu
Gilang Arief Winalar,4,2024-09-06 01:03:41,"Bintang 4 dulu ya.. Aplikasinya memang sangat membantu, beli serta pembubuhan e-met pun cepat, tapi agak ribet harus dipindah di laptop dulu buat tau kalo dokumen sudah terbubuhi..😁"
Siti Rukmana,2,2024-09-06 00:49:05,"Beli e-materai nya cepat dan membumbui tapi kenapa setelah bumbui e-materai tidak bisa di download dan katanya sdh di kirim ke gmail saya tapi tidak ada juga padahal 4 dokumen yg saya bumbui, tolong dong admin solusinya.. 🙏🙏"
ikhfan Jeli,5,2024-09-06 00:47:21,mantap murah ui paling mudh
Frino Trim,5,2024-09-06 00:34:43,Mantap lah. Dimana yg lain lagi down disini cuma yg up
diaylansa 286,5,2024-09-06 00:33:05,"Meterai asli udh cek di peruri valid, trus proses pembubuhan saat ini udh bagus ya cepet, ga kayak kemarin lamaaaa banget"
M Husain Rosidi,5,2024-09-06 00:07:36,mantapp gesitt bangettt
Rahman Alif,5,2024-09-06 00:06:44,"Matap ini lebih simpel dari yang di web, dan ini juga sudah verifikasi dari peruri dan pajak jd aman"
Ninety One,1,2024-09-05 23:43:28,"Tidak bisa di download padahal sudah beli dan upload dokumen, solusinya gimana ini admin😡"
wa yan,5,2024-09-05 23:42:42,Bagus sekali
Asrul 84,5,2024-09-05 23:38:53,Aman Sudah dicek keasliannya
Ahmad Bagas Ghani,1,2024-09-05 23:28:45,sumpah banyak banget kendala seperti file anda sudah terkirim ke email anda tetapi tidak terkirim lalu pas mau buka file lagi malah ngebug aneh rugi2
Hendra Scout,3,2024-09-05 23:16:25,"Belum dicoba, jika sukses ulasan ini akan saya rubah ke penilaian yg lebih baik"
Liana Karnila,5,2024-09-05 23:15:55,Makasih karena udah bantu pembubuhan e-meterai saya dan teman-teman 😉👍🏻 walau aplikasinya masih kadang-kadang error 😌 makakin di tinggkatkan lagi ya pak/bu admin aplikasinya... soalnya aplikasi ini aja dari tahun kemarin saya pakai untuk urusan begini terimakasih 🙏🏻
Fitri Ani,5,2024-09-05 23:07:39,"Aplikasi bagus, Cara mudah dan cepat beli meterai, pembubuhan gampang.. Sudah bisa langsung diunduh."
Rinanda Eka,1,2024-09-05 23:05:21,"Saya sudah berhasil pada proses pembubuhan tetapi ketika diunduh e-meterainya tidak ada pada file pdf, dari jam 3 pembubuhan baru dapet email malemnya pas dicek malah dikirim file pdf tanpa emetnya, Padahal sudah jelas ketika preview terdapat materainya 😭😭"
Muhamad Irvan,5,2024-09-05 23:02:55,bejone uwong
Indri Ani,5,2024-09-05 23:00:50,Alhamdulillah lancar eee
Haidar Anggraita,1,2024-09-05 22:57:18,"aplikasi terunduh gaada materainya. liat youtube gaaxa solusi, gaada yg ditanggepin. coba ganti opsi kirin email tulisan e succes tapi gaada email masuk. masak apk se gede ini scam -_-"
radita setyawati,5,2024-09-05 22:47:11,"Disaat meterai elektronik masih down pas pembubuhan, disini udah nggak dan pas di cek via website peruri valid, mantaap"
Syamsul Bahri,5,2024-09-05 22:36:06,"Tolong dibuat ematerai dapat diatur ukurannya dong, biar lebih menyesuaikan dengan tingginya ttd. Biar tidak kebesaran."
lilis agustiani,5,2024-09-05 22:34:14,Sangatlah membantu proses sangat cepat. Sangat rekomendasi pakai aplikasi ini
Dian Angriyana,5,2024-09-05 22:30:55,Aplikasi keren.
Nurul Fatonah,4,2024-09-05 22:28:35,"Aplikasi yang sangat membantu, mudah dan cepat. Semoga lebih bagus lagi"
hary pratama,5,2024-09-05 22:23:36,Semoga berhasil
Candeni Tambunan,1,2024-09-05 22:16:09,"saya kasih 1 bintang dlu, ini soalnya suratnya ga bisa2 pembubuhan materainya. Masa retry melulu"
yesi wulan,1,2024-09-05 22:14:12,"Uda bayar, di bubuhkan tapi ga bisa d download..katanya sudah dikirim email tapi ga ada..email yg pembayaran gercep🙈"
Fionav San82,1,2024-09-05 22:03:48,Status berhasil. Suksess tapi gilenya nga masuk d hp saya. Katanya email sudah dikirim tapi nga masuk di email saya. Waktu bayar email cepat masuk. Tolonglah saya sudah dua hari menunggu
Bear,3,2024-09-05 21:22:37,pembubuhan sangat lelet
Belia Prismasari,5,2024-09-05 20:21:49,Aplikasi yg cepat utk pembubuhan emet
Stevanio Hardo Akihary,5,2024-09-05 20:11:53,Aplikasi sangat mudah dan cepat pembubuhan e meterai
Vian Waka,4,2024-09-05 20:11:44,Sangat baik dan mudah untuk menggunakan
Asha Ramdha,3,2024-09-05 20:09:58,Kenapa tidak bisa upload dokumen bermaterai ke sccasn ya ? Size udah sesuai. Alasannya 'harap menggunkan format dokumen yang sesuai'
Anggi Retno Mutia,5,2024-09-05 20:06:35,Sangat bagus dan membantu
Hera Meitavianti,5,2024-09-05 19:46:34,Solusi terbaik 🫶🏻
Ratna Butar-Butar,5,2024-09-05 19:37:40,"Terimakasih, akhirnya bisa membubuhkan e materai tanpa ribet di jal 3 subuh ini ."
nur hayati,5,2024-09-05 19:17:43,Membantu
IPM-T Makassar,5,2024-09-05 19:05:35,Sangat memuaskan sangat bagus
D_ ZUL FADLI KAMAL,1,2024-09-05 19:03:26,"Aplikasi penipuan ematerai sy yg sdh sy bubuhkn kok ematerainya hilang tiba² ketika sy mau up berkasnya dilaman pendaftaran sdh sy buat dlm bentuk file pdf ematerainya hilang baru pdahal file yg sy up sdh benar yg ada tercantum ematerainya filenya jg ngga korrut yg dikrim lwat email, Balikin duit kami 22an🤬😮‍💨"
"Hendro Swito,S.M",5,2024-09-05 19:01:51,Terbaik
Vhient Vt,5,2024-09-05 18:49:47,Proses cepat & mudah
Mahreen Almahyra,5,2024-09-05 18:36:10,buruk skali. upload gagal tp kuota materai berkurang. jadi rugi
Muroatul Q,5,2024-09-05 18:31:01,"Upload gagal terus, tp tiba2 komplit dan mudah diunduh. Terimakasih sangat membantu dan tdk perlu menunggu lma"
Yugo Rithodi Syahputra,5,2024-09-05 18:26:46,Mantap thanks 👍
Kamaluddin Kamaluddin,3,2024-09-05 18:19:57,Udh berkali kali ngulang stamp e-materai tpi keterangan masih need retry. Sampai nungguin jam 2 dini hariloh
mikael dewata,5,2024-09-05 18:09:26,Jelas
ALIANUS WARUWU,1,2024-09-05 17:50:11,"Sangat di sayangkan, tidak bisa unggah dokumen"
Ary pradana,5,2024-09-05 17:38:16,Bagus!!!
Deasy Pratiwi,1,2024-09-05 17:38:02,Udah beli 3 dan semua nya dengan status need retry dan kuota sudah terpotong bagaimana solusi nya😞
Mhmd Pratama,1,2024-09-05 17:37:49,"Kenapa gagal terus ini, saya sudah tiga kali lakuin pembubuhan gagal mulu terbuang sia sia materai dan uang saya"
